datetime,open,high,low,close,trading_value,buy_taking_trading_value,sell_taking_trading_value
2021-06-02 09:00:11.478399,826000.0,826000.0,820000.0,820000.0,7389769000.0,414967000.0,2566440000.0
2021-06-02 09:00:37.613373,820000.0,826000.0,818000.0,823000.0,7515379000.0,4537543000.0,2977836000.0
2021-06-02 09:04:24.424057,823000.0,824000.0,819000.0,820000.0,7375644000.0,2789840000.0,4584160000.0
2021-06-02 09:12:03.377985,820000.0,823000.0,820000.0,823000.0,7379995000.0,4237848000.0,3142147000.0
2021-06-02 09:24:40.302779,823000.0,825000.0,822000.0,822000.0,7375810000.0,2006626000.0,5369184000.0
2021-06-02 09:37:07.448593,823000.0,823000.0,820000.0,820000.0,7415374000.0,1096229000.0,6319145000.0
2021-06-02 09:52:35.963392,820000.0,821000.0,818000.0,819000.0,7408904000.0,921180000.0,6487724000.0
2021-06-02 10:05:35.737308,819000.0,821000.0,818000.0,819000.0,7462196000.0,2442870000.0,5019326000.0
2021-06-02 10:16:34.715843,819000.0,820000.0,818000.0,818000.0,7413149000.0,450609000.0,6962540000.0
2021-06-02 10:29:40.452561,818000.0,818000.0,816000.0,817000.0,7399848000.0,1593112000.0,5806736000.0
2021-06-02 10:40:13.945360,817000.0,818000.0,815000.0,815000.0,7409612000.0,1349707000.0,6059088000.0
2021-06-02 10:55:41.396671,815000.0,816000.0,812000.0,812000.0,7382519000.0,818310000.0,6564209000.0
2021-06-02 11:04:00.624326,812000.0,813000.0,811000.0,812000.0,7563619000.0,2006209000.0,5557410000.0
2021-06-02 11:18:35.460838,812000.0,813000.0,811000.0,811000.0,7374814000.0,2075537000.0,5299277000.0
2021-06-02 11:36:16.120705,811000.0,812000.0,810000.0,810000.0,9995504000.0,1339846000.0,8655658000.0
2021-06-02 11:47:26.030420,810000.0,811000.0,806000.0,806000.0,8265564000.0,896496000.0,7369068000.0
2021-06-02 11:52:19.178112,806000.0,810000.0,805000.0,809000.0,7421637000.0,4707044000.0,2714593000.0
