datetime,open,high,low,close,trading_value,buy_taking_trading_value,sell_taking_trading_value
2021-06-02 09:00:29.198338,128500.0,128500.0,128500.0,128500.0,14556480000.0,0.0,0.0
2021-06-02 09:00:30.705245,128500.0,129000.0,128000.0,128000.0,11924330500.0,1948635000.0,9975695500.0
2021-06-02 09:01:01.911841,128000.0,128500.0,127500.0,128000.0,11819295000.0,9663087500.0,2156207500.0
2021-06-02 09:04:15.349228,128000.0,128500.0,127500.0,128000.0,11909306500.0,8312073500.0,3597233000.0
2021-06-02 09:12:46.451958,128000.0,128500.0,127500.0,127500.0,11817927500.0,6864257500.0,4953670000.0
2021-06-02 09:18:21.576599,128000.0,128000.0,127500.0,128000.0,14871110000.0,10547840000.0,4323270000.0
2021-06-02 09:43:31.541936,128000.0,128500.0,128000.0,128000.0,14468217500.0,9555193500.0,4913024000.0
2021-06-02 10:01:37.262771,128500.0,128500.0,128000.0,128000.0,11886643000.0,46003000.0,11840640000.0
2021-06-02 10:01:59.180157,128000.0,128000.0,127500.0,128000.0,11818498000.0,5562112000.0,6256386000.0
2021-06-02 10:23:26.720577,128000.0,128000.0,127500.0,127500.0,13348280500.0,731008000.0,12617272500.0
2021-06-02 10:29:56.373816,127500.0,127500.0,127000.0,127000.0,11814766500.0,456067500.0,11358699000.0
2021-06-02 10:37:01.544147,127000.0,127500.0,127000.0,127000.0,14045522500.0,4944067500.0,9101455000.0
2021-06-02 10:52:08.718250,127000.0,127000.0,127000.0,127000.0,13717143000.0,0.0,13717143000.0
2021-06-02 10:52:13.346131,127000.0,127000.0,126500.0,126500.0,11815695500.0,1889760000.0,9925935500.0
2021-06-02 11:22:38.838705,127000.0,127000.0,126500.0,126500.0,12464778000.0,1053719000.0,11411059000.0
2021-06-02 11:46:13.318172,126500.0,126500.0,126000.0,126000.0,12497206000.0,849194500.0,11648011500.0
2021-06-02 11:57:30.419425,126000.0,126500.0,126000.0,126000.0,12478748000.0,2922656000.0,9556092000.0
2021-06-02 12:31:02.259175,126500.0,126500.0,126000.0,126000.0,11829091500.0,818581500.0,11010510000.0
2021-06-02 12:32:28.971379,126000.0,126500.0,125500.0,126000.0,12245153500.0,2972749500.0,9272404000.0
2021-06-02 12:33:26.499497,126000.0,126500.0,125500.0,126000.0,11815760500.0,3856871000.0,7958889500.0
2021-06-02 12:41:11.503669,125500.0,126000.0,125500.0,126000.0,12500742500.0,7574742000.0,4926000500.0
2021-06-02 12:54:44.456772,126000.0,126500.0,126000.0,126000.0,11815457000.0,4796627000.0,7018830000.0
2021-06-02 13:53:23.654799,126500.0,126500.0,126000.0,126000.0,11814996500.0,1651710500.0,10163286000.0
2021-06-02 14:25:14.255277,126000.0,126500.0,126000.0,126000.0,11846334000.0,144210000.0,11702124000.0
2021-06-02 14:30:05.335690,126000.0,126000.0,125500.0,126000.0,11879220000.0,2936934000.0,8942286000.0
