datetime,open,high,low,close,trading_value,buy_taking_trading_value,sell_taking_trading_value
2021-06-02 09:00:37.071060,80400.0,80500.0,80300.0,80500.0,31000331400.0,9972188500.0,21028142900.0
2021-06-02 09:02:18.332993,80400.0,80800.0,80400.0,80700.0,32872021100.0,23994444600.0,8877576500.0
2021-06-02 09:04:24.013888,80700.0,80900.0,80600.0,80600.0,31051560700.0,12441322700.0,18610238000.0
2021-06-02 09:08:11.305197,80700.0,81000.0,80600.0,81000.0,31015533300.0,28784691000.0,2230842300.0
2021-06-02 09:11:45.754385,81000.0,81100.0,80900.0,81000.0,32007779700.0,16469076400.0,15538703300.0
2021-06-02 09:16:14.651671,81000.0,81200.0,80900.0,81100.0,31578314000.0,17691200800.0,13887113200.0
2021-06-02 09:21:18.788873,81100.0,81200.0,81000.0,81100.0,34778819100.0,18655220800.0,16123598300.0
2021-06-02 09:25:51.963862,81000.0,81200.0,80900.0,81100.0,31006176600.0,17373173600.0,13633003000.0
2021-06-02 09:31:44.523979,81200.0,81200.0,81000.0,81200.0,31716618800.0,18866149500.0,12850469300.0
2021-06-02 09:42:47.484055,81200.0,81300.0,81200.0,81300.0,31090032200.0,30239056200.0,850976000.0
2021-06-02 09:44:36.896812,81300.0,81400.0,81200.0,81300.0,31147782600.0,12899916400.0,18247866200.0
2021-06-02 09:46:11.264677,81300.0,81400.0,81100.0,81100.0,31022864000.0,11053116500.0,19969747500.0
2021-06-02 09:55:01.384868,81200.0,81200.0,81000.0,81000.0,31000214100.0,6984701300.0,24015512800.0
2021-06-02 10:09:55.663929,81000.0,81200.0,81000.0,81100.0,33727460500.0,20383299700.0,13344160800.0
2021-06-02 10:17:01.640352,81100.0,81200.0,81000.0,81000.0,31064450500.0,11066764400.0,19997686100.0
2021-06-02 10:28:03.886184,81000.0,81100.0,80900.0,80900.0,31095068900.0,1755642900.0,29339426000.0
2021-06-02 10:33:53.964376,80900.0,81100.0,80800.0,81000.0,31145395900.0,14642981500.0,16502414400.0
2021-06-02 10:40:25.912946,81100.0,81200.0,81000.0,81000.0,31293127300.0,11357588100.0,19935539200.0
